idCliente;Producto;Número_de_Identificación;Tipo_de_Identificación;Tipo_de_Cliente
620;Split Pared;37387333;DNI;Natural
621;Fan Coil;25700837;RUC;Jurídico
622;Filtro Hepa;40492917;RUC;Jurídico
623;Cortina de Aire ;81235668;DNI;Natural
624;Ventilador Industrial;66263303;RUC;Jurídico
625;Helicocentrífugo Silent  ;40304184;DNI;Natural
626;Filtro de Poliester;62143545;DNI;Natural
627;Ventilador Industrial;97395105;RUC;Jurídico
628;Split Piso Techo;85953188;DNI;Natural
629;VRF;65689412;DNI;Natural
630;Cortina de Aire Industrial;15849030;DNI;Natural
631;Helicocentrífugo Comercial ;9289032;DNI;Natural
632;Cassette;54242245;DNI;Natural
633;Helicocentrífugo Comercial ;11592386;DNI;Natural
634;Rejilla Circular;67319642;DNI;Natural
635;Split Pared;67379302;DNI;Natural
636;Tipo Paquete;49833175;RUC;Jurídico
637;Split Piso Techo;11159021;DNI;Natural
638;Termostatos;10795179;DNI;Natural
639;Cassette;47353880;DNI;Natural
640;Ventilador Tubular;51635281;DNI;Natural
641;Split Piso Techo;75629349;DNI;Natural
642;Ventilador Tubular;55870854;DNI;Natural
643;Cortina de Aire ;32571021;DNI;Natural
644;Helicocentrífugo Comercial ;88672035;RUC;Jurídico
645;Visor Líquido;40684788;RUC;Jurídico
646;Axial Residencial;80504301;DNI;Natural
647;Ducto Rectangular;71271639;RUC;Jurídico
648;VRV;14086869;DNI;Natural
649;Termostatos;18130029;DNI;Natural
650;Split Piso Techo;4567748;DNI;Natural
651;Ventilador Tubular;84123800;DNI;Natural
652;Helicocentrífugo Comercial ;88483415;DNI;Natural
653;Ventana;70313367;DNI;Natural
654;Split Pared;47084671;RUC;Jurídico
655;Split Pared;70502963;RUC;Jurídico
656;Ventilador Tubular;27782461;RUC;Jurídico
657;Split Ducto;33667028;DNI;Natural
658;Split Piso Techo;3092511;RUC;Jurídico
659;Cortina de Aire Industrial;34979073;RUC;Jurídico
660;VRV;23615707;RUC;Jurídico
661;Llave de Paso;83982511;DNI;Natural
662;Ventana;66797451;RUC;Jurídico
663;VRF;3143145;DNI;Natural
664;Filtro Deshumedecedor;99870859;RUC;Jurídico
665;VRF;49902820;RUC;Jurídico
666;Helicocentrífugo Silent  ;37268911;RUC;Jurídico
667;Termostatos;81461441;RUC;Jurídico
668;Termostatos;75625068;DNI;Natural
669;VRV;1641907;RUC;Jurídico
670;Tipo Paquete;84589586;DNI;Natural
671;Split Ducto;96644923;RUC;Jurídico
672;Circular Residencial ;44519781;DNI;Natural
673;Visor Líquido;35350610;DNI;Natural
674;Ventilador Centrífugo;64736064;DNI;Natural
675;Split Piso Techo;73955755;RUC;Jurídico
676;Split Pared;37170898;RUC;Jurídico
677;Helicocentrífugo Silent  ;86013124;DNI;Natural
678;Termostatos;63666196;RUC;Jurídico
679;Termostatos;60332181;RUC;Jurídico
680;Split Ducto;88620917;DNI;Natural
681;Ventilador Industrial;72004469;RUC;Jurídico
682;Presostato;67489405;DNI;Natural
683;Axial Residencial;99321858;RUC;Jurídico
684;Rejilla 2 vías;83775340;DNI;Natural
685;Ventilador Centrífugo;11678372;RUC;Jurídico
686;Ventilador Industrial;45483190;RUC;Jurídico
687;Cortina de Aire ;9335792;RUC;Jurídico
688;Repuestos;4496010;RUC;Jurídico
689;Tipo Paquete;38874810;DNI;Natural
690;Rejilla 2 vías;56096304;RUC;Jurídico
691;Termostatos;20637599;DNI;Natural
692;Split Ducto;70951502;DNI;Natural
693;Cortina de Aire Industrial;86915846;DNI;Natural
694;Termostatos;67106989;DNI;Natural
695;Termostatos;36315995;RUC;Jurídico
696;Axial Residencial;21257862;DNI;Natural
697;Tipo Paquete;46896252;RUC;Jurídico
698;Helicocentrífugo Residencial;72865823;DNI;Natural
699;Repuestos;35945471;DNI;Natural
700;Helicocentrífugo Comercial ;74849458;RUC;Jurídico
701;Axial Residencial;4341938;DNI;Natural
702;Split Piso Techo;79999741;DNI;Natural
703;Ventilador Industrial;81414342;RUC;Jurídico
704;Termostatos;27456419;RUC;Jurídico
705;Ventana;66312255;RUC;Jurídico
706;Cassette;26168322;RUC;Jurídico
707;Circular Residencial ;38169876;DNI;Natural
708;Cortina de Aire Industrial;80295131;DNI;Natural
709;Split Ducto;78385433;DNI;Natural
710;Helicocentrífugo Silent  ;34538515;DNI;Natural
711;Axial Residencial;1238441;DNI;Natural
712;Split Piso Techo;26719774;DNI;Natural
713;Helicocentrífugo Silent  ;46114029;DNI;Natural
714;Split Piso Techo;53408358;DNI;Natural
715;Ventilador Tubular;98054202;RUC;Jurídico
716;Cassette;89351495;DNI;Natural
717;VRF;56547347;RUC;Jurídico
718;Tipo Paquete;51556339;RUC;Jurídico
719;Termostatos;88309566;RUC;Jurídico
720;Termostatos;91224744;RUC;Jurídico
721;Split Piso Techo;57907859;DNI;Natural
722;Split Pared;25093140;RUC;Jurídico
723;Ventana;93852273;DNI;Natural
724;Helicocentrífugo Silent  ;41605835;RUC;Jurídico
725;Ventilador Tubular;32003368;DNI;Natural
726;Ventilador Tubular;23209661;RUC;Jurídico
727;Split Ducto;62099074;DNI;Natural
728;Rejilla 2 vías;5871648;DNI;Natural
729;Cassette;89233989;DNI;Natural
730;Cortina de Aire ;12215700;RUC;Jurídico
731;Ventilador Centrífugo;7869662;DNI;Natural
732;Ventana;7395036;DNI;Natural
733;Ventilador Industrial;24176423;DNI;Natural
734;Cassette;57408841;RUC;Jurídico
735;Cassette;76644161;RUC;Jurídico
736;Split Ducto;6508825;RUC;Jurídico
737;Cassette;32822476;DNI;Natural
738;Helicocentrífugo Comercial ;14729831;DNI;Natural
739;Split Pared;69465951;DNI;Natural
740;Ventana;7465670;RUC;Jurídico
741;Termostatos;31686474;RUC;Jurídico
742;Termostatos;80441996;RUC;Jurídico
743;Helicocentrífugo Residencial;12282117;RUC;Jurídico
744;Split Ducto;65587805;DNI;Natural
745;Cassette;98394976;RUC;Jurídico
746;Split Ducto;95564890;RUC;Jurídico
747;Termostatos;55632174;RUC;Jurídico
748;Ventilador Industrial;36423759;DNI;Natural
749;Termostatos;18138434;DNI;Natural
750;Helicocentrífugo Comercial ;88872123;RUC;Jurídico
751;Ducto Circular;12834779;DNI;Natural
752;Ducto Rectangular;48623515;DNI;Natural
753;Cortina de Aire ;94318483;DNI;Natural
754;Ventilador Tubular;24912984;RUC;Jurídico
755;Split Piso Techo;32427362;RUC;Jurídico
756;Cassette;68726684;DNI;Natural
757;Filtro Hepa;49005666;RUC;Jurídico
758;Filtro de Poliester;72923860;DNI;Natural
759;Ventana;23663987;DNI;Natural
760;Ventilador Industrial;81843066;RUC;Jurídico
761;Cortina de Aire Industrial;17702410;DNI;Natural
762;Tipo Paquete;79806396;DNI;Natural
763;Tipo Paquete;5823346;DNI;Natural
764;Fan Coil;26775587;RUC;Jurídico
765;Circular Residencial ;44305311;RUC;Jurídico
766;Split Ducto;10737797;DNI;Natural
767;Split Pared;21298942;DNI;Natural
768;Tubería de Cobre;5376259;DNI;Natural
769;Manguera;80640011;DNI;Natural
770;Tipo Paquete;34463635;RUC;Jurídico
771;VRF;6792163;DNI;Natural
772;Tipo Paquete;20121918;DNI;Natural
773;Filtro Hepa;86599854;RUC;Jurídico
774;Fan Coil;83867377;RUC;Jurídico
775;Fan Coil;58131840;DNI;Natural
776;Cortina de Aire Industrial;82967367;RUC;Jurídico
189;Ventilador Centrífugo;55361139;DNI;Natural
190;Split Pared;41616878;DNI;Natural
191;Tipo Paquete;59825302;DNI;Natural
192;Split Pared;35850470;DNI;Natural
193;Split Ducto;55546166;DNI;Natural
194;VRF;58788816;DNI;Natural
195;Cortina de Aire ;34582754;DNI;Natural
196;Ducto Flexible;13128671;DNI;Natural
197;Rejilla Circular;36053783;DNI;Natural
198;Ventilador Centrífugo;51711051;DNI;Natural
199;VRF;96049172;DNI;Natural
200;Cassette;33929015;DNI;Natural
201;Cassette;47047640;DNI;Natural
202;Termostatos;38281291;DNI;Natural
203;Helicocentrífugo Comercial ;63939894;DNI;Natural
204;VRF;78447755;DNI;Natural
205;Cassette;96770551;DNI;Natural
206;Split Piso Techo;53926648;DNI;Natural
207;VRF;63992566;DNI;Natural
208;Cortina de Aire ;55863357;DNI;Natural
209;Helicocentrífugo Silent  ;32125670;DNI;Natural
210;VRF;74751993;DNI;Natural
211;Split Pared;89010655;DNI;Natural
212;Cassette;87185129;DNI;Natural
213;Ventilador Tubular;66429311;DNI;Natural
214;Termostatos;33222507;DNI;Natural
215;Mangas;38160502;DNI;Natural
216;Cinta de Aluminio;84236271;DNI;Natural
217;VRF;84872425;DNI;Natural
218;Filtro Hepa;21957150;DNI;Natural
219;Cassette;16743754;DNI;Natural
220;Split Pared;45924894;DNI;Natural
221;Axial Residencial;69813522;DNI;Natural
222;Split Pared;76863998;DNI;Natural
223;Split Pared;54355139;DNI;Natural
224;Cassette;94389470;DNI;Natural
225;VRF;31317224;DNI;Natural
226;Cassette;38161990;DNI;Natural
227;Helicocentrífugo Silent  ;28464595;DNI;Natural
228;Termostatos;22840497;DNI;Natural
229;Cassette;43929606;DNI;Natural
230;Ventilador Tubular;99040470;DNI;Natural
231;Helicocentrífugo Silent  ;33536207;DNI;Natural
232;Rejilla 4 vías;29884380;DNI;Natural
233;Termostatos;83464777;DNI;Natural
234;Cassette;96882930;DNI;Natural
235;Split Pared;14676794;DNI;Natural
236;Cortina de Aire ;27198254;DNI;Natural
237;Cassette;47161799;DNI;Natural
238;VRV;50833522;DNI;Natural
239;VRV;87713081;DNI;Natural
240;Helicocentrífugo Residencial;93511900;DNI;Natural
241;Ventana;29061927;DNI;Natural
242;Helicocentrífugo Comercial ;78376531;DNI;Natural
243;VRV;33115993;DNI;Natural
244;Rejilla 3 vías;68574489;DNI;Natural
245;Fan Coil;90228711;DNI;Natural
246;Axial Residencial;17861202;DNI;Natural
247;Rejilla Doble Deflexión;80472825;DNI;Natural
248;VRV;99439033;DNI;Natural
249;Visor Líquido;77461152;DNI;Natural
250;VRV;43031062;DNI;Natural
251;Tipo Paquete;65425137;DNI;Natural
252;Rejilla Doble Deflexión;42750834;DNI;Natural
253;Visor Líquido;28776480;DNI;Natural
254;Helicocentrífugo Silent  ;29962348;DNI;Natural
255;Split Pared;45596269;DNI;Natural
256;Llave de Paso;23027948;DNI;Natural
257;Split Piso Techo;91328517;DNI;Natural
258;Split Ducto;40275066;DNI;Natural
259;Cortina de Aire ;68694927;DNI;Natural
260;Ventana;44883589;DNI;Natural
261;Ventilador Tubular;30426771;DNI;Natural
262;Fan Coil;73995615;DNI;Natural
263;Axial Residencial;49114653;DNI;Natural
264;Cassette;28946107;DNI;Natural
265;Bomba de Condensado;68182889;DNI;Natural
266;Mangas;94746818;DNI;Natural
267;Cortina de Aire ;92646700;DNI;Natural
268;Ventilador Centrífugo;34528742;DNI;Natural
269;Válvula de Servicio;45668624;DNI;Natural
270;Fan Coil;60791743;DNI;Natural
271;Fan Coil;13395402;DNI;Natural
272;VRV;50820592;DNI;Natural
273;Rejilla 1 vía;37959691;DNI;Natural
274;VRF;96415257;DNI;Natural
275;VRF;36451724;DNI;Natural
276;Split Ducto;72089232;DNI;Natural
277;Split Piso Techo;46833227;DNI;Natural
278;Split Piso Techo;13076752;DNI;Natural
279;Filtro Metálico;32180071;DNI;Natural
280;Tipo Paquete;55823923;DNI;Natural
281;Circular Residencial ;34863354;DNI;Natural
282;Split Piso Techo;27698755;DNI;Natural
283;Fan Coil;61317750;DNI;Natural
284;VRV;87423665;DNI;Natural
285;Manguera;48867007;DNI;Natural
286;VRV;14976828;DNI;Natural
287;Ventana;33321414;DNI;Natural
288;Cassette;15526717;DNI;Natural
289;Rejilla 4 vías;15679989;DNI;Natural
290;Cassette;84838466;DNI;Natural
291;Ventana;86138743;DNI;Natural
292;VRV;49555466;DNI;Natural
293;Circular Residencial ;58963707;DNI;Natural
294;VRF;81119508;DNI;Natural
295;Cortina de Aire Industrial;82536780;DNI;Natural
296;Fan Coil;63267341;DNI;Natural
297;Cassette;83887814;DNI;Natural
298;Rejilla Doble Deflexión;14321179;DNI;Natural
299;Fan Coil;12346512;DNI;Natural
300;Circular Residencial ;20144707;DNI;Natural
301;Rejilla 1 vía;20585775210;RUC;Jurídico
302;Cassette;20340766225;RUC;Jurídico
303;Axial Residencial;20362414268;RUC;Jurídico
304;Axial Residencial;20190026008;RUC;Jurídico
305;Axial Residencial;20981428322;RUC;Jurídico
306;Helicocentrífugo Comercial ;20681819351;RUC;Jurídico
307;Ventana;20815012837;RUC;Jurídico
308;VRF;20469675998;RUC;Jurídico
309;Rejilla Lineal;20485672592;RUC;Jurídico
310;Tubería de Cobre;20421245413;RUC;Jurídico
311;Ventana;20079447253;RUC;Jurídico
312;Helicocentrífugo Silent  ;20953765662;RUC;Jurídico
313;Cortina de Aire ;20744113510;RUC;Jurídico
314;Helicocentrífugo Silent  ;20062242626;RUC;Jurídico
315;Ventana;20638068302;RUC;Jurídico
316;Split Pared;20861416027;RUC;Jurídico
317;Cortina de Aire Industrial;20366392285;RUC;Jurídico
318;VRV;20981104924;RUC;Jurídico
319;Tipo Paquete;20193140048;RUC;Jurídico
320;Ventilador Centrífugo;20482938625;RUC;Jurídico
321;Ventilador Industrial;20245101191;RUC;Jurídico
322;Fan Coil;20979752891;RUC;Jurídico
323;Split Ducto;20362124702;RUC;Jurídico
324;Termostatos;20042793047;RUC;Jurídico
325;Termostatos;20755903552;RUC;Jurídico
326;Helicocentrífugo Comercial ;20553338373;RUC;Jurídico
327;Tipo Paquete;20790460249;RUC;Jurídico
328;Ducto Rectangular;20196270452;RUC;Jurídico
329;Fan Coil;20442391608;RUC;Jurídico
330;Llave de Paso;20224680532;RUC;Jurídico
331;Rejilla 1 vía;20910604931;RUC;Jurídico
332;Split Piso Techo;20099821963;RUC;Jurídico
333;Axial Residencial;20569841805;RUC;Jurídico
334;Ventilador Tubular;20274313525;RUC;Jurídico
335;Filtro Deshumedecedor;20087425209;RUC;Jurídico
336;Helicocentrífugo Comercial ;20561816645;RUC;Jurídico
337;Tipo Paquete;20718744374;RUC;Jurídico
338;Ventilador Centrífugo;20558166758;RUC;Jurídico
339;VRF;20978526621;RUC;Jurídico
340;Ducto Rectangular;20824752378;RUC;Jurídico
341;Ducto Flexible;20723842185;RUC;Jurídico
342;Filtro Hepa;20281878181;RUC;Jurídico
343;Tipo Paquete;20096223149;RUC;Jurídico
344;Split Ducto;20138423806;RUC;Jurídico
345;Cortina de Aire ;20367696161;RUC;Jurídico
346;Helicocentrífugo Silent  ;20310193926;RUC;Jurídico
347;Termostatos;20386780999;RUC;Jurídico
348;Termostatos;20618321823;RUC;Jurídico
349;Axial Residencial;20826989970;RUC;Jurídico
350;Helicocentrífugo Silent  ;20063364523;RUC;Jurídico
351;VRF;20995149078;RUC;Jurídico
352;Ducto Circular;20899922743;RUC;Jurídico
353;Helicocentrífugo Comercial ;20825568406;RUC;Jurídico
354;Helicocentrífugo Residencial;20143053557;RUC;Jurídico
355;Cortina de Aire ;20637022179;RUC;Jurídico
356;Ducto Rectangular;20536403325;RUC;Jurídico
357;Split Pared;20139488893;RUC;Jurídico
358;Split Ducto;20686795534;RUC;Jurídico
359;Cortina de Aire Industrial;20062728268;RUC;Jurídico
360;VRV;20023634763;RUC;Jurídico
361;Cortina de Aire ;20397858753;RUC;Jurídico
362;Ventilador Tubular;20828583231;RUC;Jurídico
363;Helicocentrífugo Silent  ;20147269508;RUC;Jurídico
364;Split Piso Techo;20043661201;RUC;Jurídico
365;Axial Residencial;20882109726;RUC;Jurídico
366;Rejilla 3 vías;20741749020;RUC;Jurídico
367;Split Pared;20987040563;RUC;Jurídico
368;Ventilador Centrífugo;20016495290;RUC;Jurídico
369;Ventilador Centrífugo;20278129282;RUC;Jurídico
370;Termostatos;20411442034;RUC;Jurídico
371;VRF;20016514237;RUC;Jurídico
372;Split Piso Techo;20619933139;RUC;Jurídico
373;Fan Coil;20773274193;RUC;Jurídico
374;Split Ducto;20651141039;RUC;Jurídico
375;VRV;20889270632;RUC;Jurídico
376;Ventana;20675673993;RUC;Jurídico
377;VRF;20515437318;RUC;Jurídico
378;Termostatos;20091969037;RUC;Jurídico
379;Termostatos;20267043561;RUC;Jurídico
380;Split Pared;20599100175;RUC;Jurídico
381;Helicocentrífugo Comercial ;20016552704;RUC;Jurídico
382;Rejilla 4 vías;20814351551;RUC;Jurídico
383;Ventana;20840788663;RUC;Jurídico
384;Split Pared;20499875082;RUC;Jurídico
385;Tipo Paquete;20418123117;RUC;Jurídico
386;Split Ducto;20662484213;RUC;Jurídico
387;Rejilla 4 vías;20050379817;RUC;Jurídico
388;Split Pared;20151662716;RUC;Jurídico
389;VRV;20255660233;RUC;Jurídico
390;Circular Residencial ;20122294716;RUC;Jurídico
391;Split Ducto;20029839477;RUC;Jurídico
392;Tubería de Cobre;20297463870;RUC;Jurídico
393;Helicocentrífugo Comercial ;20098810404;RUC;Jurídico
394;Ventana;20210827617;RUC;Jurídico
395;Helicocentrífugo Silent  ;20739457532;RUC;Jurídico
396;Ventilador Centrífugo;20815519285;RUC;Jurídico
397;Rejilla Rotacional;20790347552;RUC;Jurídico
398;VRV;20594959515;RUC;Jurídico
399;Ventana;20425130047;RUC;Jurídico
400;Rejilla Rotacional;20933971732;RUC;Jurídico
401;VRF;20632846560;RUC;Jurídico
402;VRV;20165212174;RUC;Jurídico
403;Rejilla 4 vías;20580253234;RUC;Jurídico
404;Helicocentrífugo Silent  ;20480847588;RUC;Jurídico
405;Cortina de Aire Industrial;20628732631;RUC;Jurídico
406;Ventana;20929602951;RUC;Jurídico
407;Axial Residencial;20766644302;RUC;Jurídico
408;Ventilador Centrífugo;20682194310;RUC;Jurídico
409;VRV;20095828050;RUC;Jurídico
410;Rejilla 3 vías;20143368022;RUC;Jurídico
411;Cassette;20174874262;RUC;Jurídico
412;Helicocentrífugo Residencial;20930474841;RUC;Jurídico
413;Ventilador Centrífugo;20264950266;RUC;Jurídico
414;Split Ducto;20063727460;RUC;Jurídico
415;Ventilador Centrífugo;20638226765;RUC;Jurídico
416;Helicocentrífugo Comercial ;20063604047;RUC;Jurídico
417;Termostatos;20948051222;RUC;Jurídico
418;Ventana;20956333660;RUC;Jurídico
419;Helicocentrífugo Comercial ;20387728785;RUC;Jurídico
420;Válvula de Servicio;20315063646;RUC;Jurídico
421;VRV;20139369133;RUC;Jurídico
422;Rejilla de Retorno;20774236074;RUC;Jurídico
423;Ventana;20896541963;RUC;Jurídico
424;Split Piso Techo;20025625575;RUC;Jurídico
425;Split Ducto;20552961079;RUC;Jurídico
426;Termostatos;20885384856;RUC;Jurídico
427;Rejilla Rotacional;20597971343;RUC;Jurídico
428;Ventana;20676742895;RUC;Jurídico
429;Rejilla 4 vías;20067490354;RUC;Jurídico
430;Termostatos;20662432978;RUC;Jurídico
431;Helicocentrífugo Silent  ;20370608419;RUC;Jurídico
432;Mangas;20166496368;RUC;Jurídico
433;Manguera;20574651279;RUC;Jurídico
434;Mangas;20736143708;RUC;Jurídico
435;Cortina de Aire ;20042960530;RUC;Jurídico
436;Cortina de Aire Industrial;20394865120;RUC;Jurídico
437;Fan Coil;20986546382;RUC;Jurídico
438;Filtro Hepa;20267074315;RUC;Jurídico
439;VRF;20793277546;RUC;Jurídico
440;Fan Coil;20749006345;RUC;Jurídico
441;Filtro de Poliester;20384943554;RUC;Jurídico
442;Helicocentrífugo Silent  ;20230956922;RUC;Jurídico
443;Filtro Deshumedecedor;20359749202;RUC;Jurídico
444;Split Piso Techo;20137384066;RUC;Jurídico
445;Split Piso Techo;20057537096;RUC;Jurídico
446;Fan Coil;20552892196;RUC;Jurídico
447;VRF;20640012631;RUC;Jurídico
448;Split Pared;20814877695;RUC;Jurídico
449;Termostatos;20844062475;RUC;Jurídico
450;Rejilla 4 vías;20920687740;RUC;Jurídico
451;Cassette;20810019416;RUC;Jurídico
452;Fan Coil;20842782083;RUC;Jurídico
453;Termostatos;20839981850;RUC;Jurídico
454;Filtro Deshumedecedor;20351149566;RUC;Jurídico
455;Rejilla 2 vías;20099578930;RUC;Jurídico
456;Ventana;20017998935;RUC;Jurídico
457;Rejilla 2 vías;20018155321;RUC;Jurídico
458;Cinta de Aluminio;20780601321;RUC;Jurídico
459;Split Ducto;20538757529;RUC;Jurídico
460;Ventilador Centrífugo;20433600927;RUC;Jurídico
461;Ducto Rectangular;20760504260;RUC;Jurídico
462;Cortina de Aire ;20056752611;RUC;Jurídico
463;Cortina de Aire ;20999194120;RUC;Jurídico
464;Helicocentrífugo Silent  ;20261777707;RUC;Jurídico
465;Cortina de Aire Industrial;20659097567;RUC;Jurídico
466;Manguera;20829445311;RUC;Jurídico
467;Helicocentrífugo Residencial;20383215263;RUC;Jurídico
468;VRV;20425095574;RUC;Jurídico
469;Split Pared;20084262886;RUC;Jurídico
470;Ventana;20265146631;RUC;Jurídico
471;VRF;20326417021;RUC;Jurídico
472;Repuestos;20799907521;RUC;Jurídico
473;Cortina de Aire ;20555950817;RUC;Jurídico
474;Termostatos;20219263870;RUC;Jurídico
475;Bomba de Condensado;20382714220;RUC;Jurídico
